GERMPLASM,LOCATION,RANGE,ROW,RANGEROW,LOCAL_ROW,LOCAL_RANGE,PLOT,YIELD
LINE061,LOCATION1,19,22,19022,1,1,1,1052
LINE014,LOCATION1,20,54,20054,1,2,66,1209
LINE211,LOCATION1,21,22,21022,1,3,67,660
LINE185,LOCATION1,22,54,22054,1,4,132,868
CHECK04,LOCATION1,23,22,23022,1,5,133,1252
LINE108,LOCATION1,24,54,24054,1,6,198,1358
LINE024,LOCATION1,25,22,25022,1,7,199,1274
LINE144,LOCATION1,26,54,26054,1,8,264,999
LINE025,LOCATION1,27,22,27022,1,9,265,1069
LINE222,LOCATION1,28,54,28054,1,10,330,1367
LINE272,LOCATION1,19,23,19023,2,1,2,924
LINE013,LOCATION1,20,53,20053,2,2,65,1246
LINE086,LOCATION1,21,23,21023,2,3,68,1324
LINE077,LOCATION1,22,53,22053,2,4,131,948
LINE085,LOCATION1,23,23,23023,2,5,134,1492
LINE031,LOCATION1,24,53,24053,2,6,197,1135
LINE300,LOCATION1,25,23,25023,2,7,200,1275
LINE277,LOCATION1,26,53,26053,2,8,263,1108
LINE188,LOCATION1,27,23,27023,2,9,266,922
CHECK04,LOCATION1,28,53,28053,2,10,329,1413
LINE155,LOCATION1,19,24,19024,3,1,3,713
LINE265,LOCATION1,20,52,20052,3,2,64,1058
LINE232,LOCATION1,21,24,21024,3,3,69,1304
LINE035,LOCATION1,22,52,22052,3,4,130,1101
CHECK04,LOCATION1,23,24,23024,3,5,135,1376
LINE101,LOCATION1,24,52,24052,3,6,196,1271
LINE119,LOCATION1,25,24,25024,3,7,201,1729
LINE007,LOCATION1,26,52,26052,3,8,262,1066
LINE234,LOCATION1,27,24,27024,3,9,267,977
LINE042,LOCATION1,28,52,28052,3,10,328,1475
LINE017,LOCATION1,19,25,19025,4,1,4,914
LINE150,LOCATION1,20,51,20051,4,2,63,1170
LINE195,LOCATION1,21,25,21025,4,3,70,1094
LINE289,LOCATION1,22,51,22051,4,4,129,1402
LINE181,LOCATION1,23,25,23025,4,5,136,1337
LINE103,LOCATION1,24,51,24051,4,6,195,1216
LINE273,LOCATION1,25,25,25025,4,7,202,786
LINE099,LOCATION1,26,51,26051,4,8,261,1226
LINE158,LOCATION1,27,25,27025,4,9,268,953
CHECK04,LOCATION1,28,51,28051,4,10,327,1503
LINE047,LOCATION1,19,26,19026,5,1,5,863
LINE270,LOCATION1,20,50,20050,5,2,62,625
LINE095,LOCATION1,21,26,21026,5,3,71,901
CHECK03,LOCATION1,22,50,22050,5,4,128,919
LINE174,LOCATION1,23,26,23026,5,5,137,1008
LINE131,LOCATION1,24,50,24050,5,6,194,1038
LINE173,LOCATION1,25,26,25026,5,7,203,922
LINE197,LOCATION1,26,50,26050,5,8,260,1026
LINE147,LOCATION1,27,26,27026,5,9,269,684
LINE252,LOCATION1,28,50,28050,5,10,326,1322
LINE058,LOCATION1,19,27,19027,6,1,6,923
LINE189,LOCATION1,20,49,20049,6,2,61,442
LINE280,LOCATION1,21,27,21027,6,3,72,922
LINE269,LOCATION1,22,49,22049,6,4,127,762
LINE134,LOCATION1,23,27,23027,6,5,138,1277
LINE049,LOCATION1,24,49,24049,6,6,193,1004
LINE043,LOCATION1,25,27,25027,6,7,204,1006
LINE056,LOCATION1,26,49,26049,6,8,259,1035
CHECK03,LOCATION1,27,27,27027,6,9,270,807
LINE009,LOCATION1,28,49,28049,6,10,325,1222
LINE160,LOCATION1,19,28,19028,7,1,7,762
LINE059,LOCATION1,20,48,20048,7,2,60,1121
CHECK04,LOCATION1,21,28,21028,7,3,73,1177
LINE175,LOCATION1,22,48,22048,7,4,126,1173
LINE224,LOCATION1,23,28,23028,7,5,139,1032
LINE041,LOCATION1,24,48,24048,7,6,192,1765
LINE192,LOCATION1,25,28,25028,7,7,205,1263
LINE278,LOCATION1,26,48,26048,7,8,258,874
LINE021,LOCATION1,27,28,27028,7,9,271,360
LINE259,LOCATION1,28,48,28048,7,10,324,1539
LINE243,LOCATION1,19,29,19029,8,1,8,1092
LINE285,LOCATION1,20,47,20047,8,2,59,1138
LINE248,LOCATION1,21,29,21029,8,3,74,1269
LINE153,LOCATION1,22,47,22047,8,4,125,968
LINE149,LOCATION1,23,29,23029,8,5,140,1154
LINE286,LOCATION1,24,47,24047,8,6,191,880
LINE070,LOCATION1,25,29,25029,8,7,206,1349
CHECK04,LOCATION1,26,47,26047,8,8,257,1171
LINE162,LOCATION1,27,29,27029,8,9,272,1003
LINE023,LOCATION1,28,47,28047,8,10,323,1114
LINE235,LOCATION1,19,30,19030,9,1,9,1400
CHECK02,LOCATION1,20,46,20046,9,2,58,1169
LINE048,LOCATION1,21,30,21030,9,3,75,1229
LINE229,LOCATION1,22,46,22046,9,4,124,1085
LINE245,LOCATION1,23,30,23030,9,5,141,1000
LINE115,LOCATION1,24,46,24046,9,6,190,1147
LINE138,LOCATION1,25,30,25030,9,7,207,1433
LINE124,LOCATION1,26,46,26046,9,8,256,1177
LINE257,LOCATION1,27,30,27030,9,9,273,1178
LINE065,LOCATION1,28,46,28046,9,10,322,1381
LINE225,LOCATION1,19,31,19031,10,1,10,1124
LINE161,LOCATION1,20,45,20045,10,2,57,841
LINE060,LOCATION1,21,31,21031,10,3,76,1431
LINE206,LOCATION1,22,45,22045,10,4,123,805
LINE057,LOCATION1,23,31,23031,10,5,142,1514
LINE088,LOCATION1,24,45,24045,10,6,189,1026
CHECK02,LOCATION1,25,31,25031,10,7,208,1696
LINE247,LOCATION1,26,45,26045,10,8,255,999
LINE242,LOCATION1,27,31,27031,10,9,274,782
LINE126,LOCATION1,28,45,28045,10,10,321,976
CHECK04,LOCATION1,19,32,19032,11,1,11,1649
LINE279,LOCATION1,20,44,20044,11,2,56,799
LINE236,LOCATION1,21,32,21032,11,3,77,1092
LINE019,LOCATION1,22,44,22044,11,4,122,1149
LINE228,LOCATION1,23,32,23032,11,5,143,1376
LINE207,LOCATION1,24,44,24044,11,6,188,859
LINE191,LOCATION1,25,32,25032,11,7,209,1412
LINE163,LOCATION1,26,44,26044,11,8,254,1190
LINE291,LOCATION1,27,32,27032,11,9,275,1515
LINE116,LOCATION1,28,44,28044,11,10,320,686
LINE022,LOCATION1,19,33,19033,12,1,12,948
LINE113,LOCATION1,20,43,20043,12,2,55,990
LINE250,LOCATION1,21,33,21033,12,3,78,1326
LINE176,LOCATION1,22,43,22043,12,4,121,1513
LINE230,LOCATION1,23,33,23033,12,5,144,1276
CHECK04,LOCATION1,24,43,24043,12,6,187,1643
LINE164,LOCATION1,25,33,25033,12,7,210,1064
LINE092,LOCATION1,26,43,26043,12,8,253,1169
LINE266,LOCATION1,27,33,27033,12,9,276,656
LINE261,LOCATION1,28,43,28043,12,10,319,1440
LINE083,LOCATION1,19,34,19034,13,1,13,981
LINE053,LOCATION1,20,42,20042,13,2,54,786
LINE096,LOCATION1,21,34,21034,13,3,79,1275
LINE055,LOCATION1,22,42,22042,13,4,120,1509
LINE223,LOCATION1,23,34,23034,13,5,145,1267
LINE264,LOCATION1,24,42,24042,13,6,186,886
LINE288,LOCATION1,25,34,25034,13,7,211,1299
LINE072,LOCATION1,26,42,26042,13,8,252,881
LINE202,LOCATION1,27,34,27034,13,9,277,945
LINE097,LOCATION1,28,42,28042,13,10,318,1134
LINE284,LOCATION1,19,35,19035,14,1,14,840
LINE190,LOCATION1,20,41,20041,14,2,53,1139
LINE159,LOCATION1,21,35,21035,14,3,80,784
LINE246,LOCATION1,22,41,22041,14,4,119,1108
CHECK02,LOCATION1,23,35,23035,14,5,146,1326
LINE227,LOCATION1,24,41,24041,14,6,185,1529
LINE219,LOCATION1,25,35,25035,14,7,212,718
LINE018,LOCATION1,26,41,26041,14,8,251,1482
LINE212,LOCATION1,27,35,27035,14,9,278,704
LINE226,LOCATION1,28,41,28041,14,10,317,1208
LINE117,LOCATION1,19,36,19036,15,1,15,853
LINE102,LOCATION1,20,40,20040,15,2,52,1095
LINE281,LOCATION1,21,36,21036,15,3,81,1042
LINE271,LOCATION1,22,40,22040,15,4,118,1341
LINE016,LOCATION1,23,36,23036,15,5,147,529
LINE038,LOCATION1,24,40,24040,15,6,184,1769
LINE203,LOCATION1,25,36,25036,15,7,213,895
LINE112,LOCATION1,26,40,26040,15,8,250,1159
LINE208,LOCATION1,27,36,27036,15,9,279,960
CHECK02,LOCATION1,28,40,28040,15,10,316,1516
LINE078,LOCATION1,19,37,19037,16,1,16,1029
LINE276,LOCATION1,20,39,20039,16,2,51,725
LINE170,LOCATION1,21,37,21037,16,3,82,1278
CHECK04,LOCATION1,22,39,22039,16,4,117,972
LINE084,LOCATION1,23,37,23037,16,5,148,902
LINE074,LOCATION1,24,39,24039,16,6,183,917
LINE028,LOCATION1,25,37,25037,16,7,214,1112
LINE180,LOCATION1,26,39,26039,16,8,249,1246
LINE237,LOCATION1,27,37,27037,16,9,280,1221
LINE069,LOCATION1,28,39,28039,16,10,315,880
LINE294,LOCATION1,19,38,19038,17,1,17,980
